,player,club,age,join_age,usd,Season,Goals Added,name,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
276,K. Manneh,Austin FC,26.0,26.0,885000.0,2020.0,0.33,Kekuta Manneh,Kekuta Manneh,ATX,F,8.0,3.0,246.0,1.0,1.0,9.0,5.0,0.0,0/0,0.0,1.0,0.37,11.1
277,J. Gallagher,Austin FC,25.0,24.0,590000.0,2020.0,0.46,Jon Gallagher,Jon Gallagher,ATX,F,16.0,11.0,982.0,4.0,0.0,13.0,7.0,1.0,0/0,2.0,2.0,0.37,30.8
278,D. Hoesen,Austin FC,30.0,29.0,708000.0,2020.0,-0.55,Danny Hoesen,Danny Hoesen,ATX,F,8.0,3.0,249.0,1.0,0.0,11.0,3.0,0.0,0/0,0.0,1.0,0.36,9.1
279,A. Schoenfeld,Austin FC,30.0,30.0,472000.0,2020.0,0.18,Aaron Schoenfeld,Aaron Schoenfeld,ATX,F,14.0,3.0,390.0,1.0,0.0,14.0,4.0,1.0,0/0,0.0,1.0,0.23,7.1
280,F. Calvo,Chicago Fire FC,28.0,26.0,1180000.0,2020.0,-1.13,Francisco Calvo,Francisco Calvo,CHI,D,22.0,22.0,1911.0,1.0,2.0,16.0,3.0,0.0,0/0,0.0,1.0,0.05,6.3
281,M. Pineda,Chicago Fire FC,23.0,22.0,767000.0,2020.0,-0.62,Mauricio Pineda,Mauricio Pineda,CHI,D-M,23.0,23.0,2022.0,3.0,2.0,9.0,3.0,1.0,0/0,1.0,2.0,0.13,33.3
282,J. Kappelhof,Chicago Fire FC,30.0,25.0,708000.0,2020.0,0.19,Johan Kappelhof,Johan Kappelhof,CHI,D,4.0,2.0,200.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
283,C. Terán,Chicago Fire FC,20.0,19.0,236000.0,2020.0,-0.14,Carlos Teran,Carlos Teran,CHI,D,2.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
284,W. Omsberg,Chicago Fire FC,25.0,24.0,206500.0,2020.0,0.38,Wyatt Omsberg,Wyatt Omsberg,CHI,D,5.0,2.0,185.0,0.0,1.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
285,M. Ángel Navarro,Chicago Fire FC,22.0,20.0,590000.0,2020.0,-0.93,Miguel Angel Navarro,Miguel Angel Navarro,CHI,D,19.0,10.0,971.0,0.0,1.0,11.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
286,J. Bornstein,Chicago Fire FC,36.0,34.0,236000.0,2020.0,0.11,Jonathan Bornstein,Jonathan Bornstein,CHI,D,20.0,13.0,1141.0,1.0,1.0,4.0,3.0,0.0,0/0,0.0,1.0,0.08,25.0
287,B. Sekulic,Chicago Fire FC,29.0,28.0,767000.0,2020.0,0.06,Boris Sekulic,Boris Sekulic,CHI,D,21.0,21.0,1826.0,2.0,2.0,14.0,4.0,1.0,0/0,1.0,1.0,0.1,14.3
288,G. Giménez,Chicago Fire FC,29.0,28.0,4720000.0,2020.0,-0.45,Gaston Gimenez,Gaston Gimenez,CHI,M,18.0,17.0,1557.0,0.0,3.0,21.0,7.0,0.0,0/0,0.0,0.0,0.0,0.0
